Value Iteration,Value Iteration,Value Iteration,Value Iteration,Random Agent,Random Agent,Random Agent,Random Agent
Highway 1Hz,Highway 1Hz,Highway 5Hz,Highway 5Hz,Highway 1Hz,Highway 1Hz,Highway 5Hz,Highway 5Hz
reward,length,reward,length,reward,length,reward,length
2.024573941415886,0.075,9.8090739083526,0.055,7.215787040465587,0.225,30.700212747828967,0.18
13.01941790568211,0.375,90.31225870597547,0.46,12.019202485154889,0.35,83.03197305604077,0.52
38.884209299531484,1.0,87.41678169136999,0.445,26.933354225243857,0.875,30.836672989641123,0.195
39.06197254916424,1.0,81.5619911475789,0.415,4.93142395488076,0.175,17.752218280910807,0.12
38.546259254075075,1.0,48.610474796067116,0.25,1.5999999999999999,0.075,44.12318407432003,0.25
39.57552555073519,1.0,60.217201033003676,0.31,5.511065733672729,0.175,8.635502738646183,0.055
39.216593899219966,1.0,59.26814846338143,0.305,3.513502927459418,0.125,19.380190860082323,0.12
16.308929571391822,0.475,179.42223857431725,0.905,2.0241118079127283,0.075,17.70026748817873,0.105
39.531557639750154,1.0,9.759011048544505,0.055,2.509329145005363,0.1,42.57455046756085,0.26
39.485678224526296,1.0,80.06280098419995,0.41,1.8707083072741513,0.075,34.9345176781445,0.225
39.61997422015948,1.0,52.291523347145755,0.27,1.9130006968016178,0.075,14.04595444413524,0.085
39.17362699461546,1.0,17.824443932860095,0.095,4.73440096472345,0.15,26.770368942979946,0.155
6.978844495286848,0.2,156.2377125606159,0.79,1.688266165793714,0.075,15.60294907244076,0.105
39.39583231964222,1.0,68.14976906610866,0.35,31.042939093392192,1.0,31.0104174631208,0.17
3.8450469648060186,0.125,7.8613310535593035,0.045,2.0241118079127283,0.075,25.317207462078905,0.14
39.44076170992736,1.0,8.667046366701808,0.05,11.932083422571985,0.425,69.54606570541657,0.435
0.9824417009602194,0.05,53.3955577837735,0.275,8.21903584482249,0.275,35.71585553978489,0.205
39.150915905699776,1.0,28.281249260234073,0.15,22.379068989142496,0.7,26.25655436186118,0.155
38.83929231451264,1.0,14.69099984923852,0.08,6.397426269937398,0.225,20.634092136151548,0.12
34.57502928722183,0.9,110.8022856536442,0.56,10.44680144550978,0.325,15.167905877405742,0.09
1.2018895856905065,0.05,74.82401048904728,0.38,9.0478583229167,0.275,11.743145052407286,0.07
39.50789058871463,1.0,70.25673194309697,0.365,3.7351816823313824,0.125,54.3048955749657,0.34
39.329583447765856,1.0,51.51091876235319,0.265,19.888498809642478,0.6,35.1336690513207,0.22
39.30932098984534,1.0,42.41996526111194,0.22,1.777777777777778,0.075,50.08791005436235,0.31
39.196321546173024,1.0,63.098629610240394,0.325,14.510218762416018,0.475,110.92562105388188,0.67
39.397208643302854,1.0,41.802285762712756,0.215,31.815506106977473,1.0,59.276582152747835,0.375
39.33154329704656,1.0,41.33727525731665,0.215,19.50909877915447,0.575,33.43068691640451,0.195
39.620457142900875,1.0,168.47659601218564,0.85,5.559127274445447,0.175,18.838160988231774,0.12
3.8455174649599897,0.125,6.9367411869458415,0.04,5.934190435160201,0.2,14.149270278559483,0.085
35.374096704880074,0.925,52.750379376296074,0.27,6.579771675254051,0.225,79.20205562088712,0.53
39.128693691489126,1.0,53.215543246816665,0.275,8.157908655908193,0.3,19.654322810947026,0.135
39.396264280013,1.0,49.56397930782763,0.255,4.423285511620167,0.15,17.772757796136098,0.125
39.3078762389633,1.0,6.649861591706042,0.04,4.707572764925332,0.15,19.034919951899667,0.12
39.10695604645711,1.0,101.15409839849707,0.515,25.616817964113075,0.875,32.70692216907654,0.185
39.37453841717229,1.0,55.4713681405032,0.285,10.777957454735379,0.35,35.12619856368503,0.205
39.24031876706324,1.0,7.654327260712784,0.045,9.245192929047862,0.275,112.59778869155926,0.715
39.440318143957704,1.0,61.54320471011311,0.315,1.180129496971442,0.05,12.917931061536237,0.075
39.19580659549777,1.0,27.772117979986263,0.145,6.998541776096369,0.25,82.98765891527572,0.52
39.17316568190024,1.0,28.62667773684205,0.15,4.305519976744719,0.15,35.30207518349686,0.22
39.262931098358756,1.0,12.77489934443511,0.07,8.79795356910737,0.3,18.98556142218418,0.115
39.30737570292473,1.0,9.780924689134688,0.055,3.0904251975281247,0.1,69.01413347374864,0.445
39.44027503121491,1.0,89.85736209316268,0.455,9.06692545349427,0.3,31.646678493204693,0.205
39.03735877964961,1.0,113.49450954027857,0.575,2.823798739214225,0.1,28.478689837134063,0.195
38.92535917395812,1.0,8.78514205187056,0.05,13.952306667006326,0.45,74.71270044119743,0.46
38.88133072158565,1.0,64.56309114120955,0.33,27.528232221899785,0.975,14.10128679019471,0.08
